"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Otu1346","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__copri"
"Otu1347","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","g__Bacteroides_unclassified"
"Otu1348","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","o__Bacteroidales_unclassified","o__Bacteroidales_unclassified","o__Bacteroidales_unclassified"
"Otu1349","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__S24-7","f__S24-7_unclassified","f__S24-7_unclassified"
"Otu1350","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","o__Bacteroidales_unclassified","o__Bacteroidales_unclassified","o__Bacteroidales_unclassified"
"Otu1351","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","g__Bacteroides_unclassified"
"Otu1352","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","g__Bacteroides_unclassified"
"Otu1353","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__S24-7","f__S24-7_unclassified","f__S24-7_unclassified"
"Otu1354","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","o__Bacteroidales_unclassified","o__Bacteroidales_unclassified","o__Bacteroidales_unclassified"
"Otu1355","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__S24-7","f__S24-7_unclassified","f__S24-7_unclassified"
"Otu1356","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Porphyromonadaceae","g__Parabacteroides","s__distasonis"
"Otu1357","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","g__Bacteroides_unclassified"
"Otu1358","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","o__Bacteroidales_unclassified","o__Bacteroidales_unclassified","o__Bacteroidales_unclassified"
"Otu1359","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","g__Bacteroides_unclassified"
"Otu1360","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","g__Bacteroides_unclassified"
