"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Otu1424","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfarculales","f__Desulfarculaceae","f__Desulfarculaceae_unclassified","f__Desulfarculaceae_unclassified"
"Otu1425","k__Bacteria","p__Chlorobi","c__Ignavibacteria","o__Ignavibacteriales","o__Ignavibacteriales_unclassified","o__Ignavibacteriales_unclassified","o__Ignavibacteriales_unclassified"
"Otu1426","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Procabacteriales","f__Procabacteriaceae","f__Procabacteriaceae_unclassified","f__Procabacteriaceae_unclassified"
"Otu1427","k__Bacteria","p__Chlorobi","c__BSV26","o__PK329","o__PK329_unclassified","o__PK329_unclassified","o__PK329_unclassified"
"Otu1428","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Thiotrichales","f__Thiotrichaceae","f__Thiotrichaceae_unclassified","f__Thiotrichaceae_unclassified"
"Otu1429","k__Bacteria","p__Tenericutes","c__Mollicutes","c__Mollicutes_unclassified","c__Mollicutes_unclassified","c__Mollicutes_unclassified","c__Mollicutes_unclassified"
"Otu1430","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","g__Bacteroides_unclassified"
"Otu1431","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","g__Bacteroides_unclassified"
"Otu1432","k__Bacteria","p__Firmicutes","c__Erysipelotrichi","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Clostridium","s__spiroforme"
"Otu1433","k__Bacteria","p__Firmicutes","c__Erysipelotrichi","o__Erysipelotrichales","f__Erysipelotrichaceae","f__Erysipelotrichaceae_unclassified","f__Erysipelotrichaceae_unclassified"
"Otu1434","k__Bacteria","p__Firmicutes","c__Erysipelotrichi","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Catenibacterium","s__mitsuokai"
"Otu1435","k__Bacteria","p__Firmicutes","c__Erysipelotrichi","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Clostridium","s__cocleatum"
"Otu1436","k__Bacteria","p__Firmicutes","c__Erysipelotrichi","o__Erysipelotrichales","f__Erysipelotrichaceae","g__[Eubacterium]","s__dolichum"
"Otu1437","k__Bacteria","p__Firmicutes","c__Erysipelotrichi","o__Erysipelotrichales","f__Erysipelotrichaceae","f__Erysipelotrichaceae_unclassified","f__Erysipelotrichaceae_unclassified"
"Otu1438","k__Bacteria","p__Firmicutes","c__Erysipelotrichi","o__Erysipelotrichales","f__Erysipelotrichaceae","f__Erysipelotrichaceae_unclassified","f__Erysipelotrichaceae_unclassified"
"Otu1439","k__Bacteria","p__Firmicutes","c__Erysipelotrichi","o__Erysipelotrichales","f__Erysipelotrichaceae","g__[Eubacterium]","s__biforme"
"Otu1440","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Oceanospirillales","f__Halomonadaceae","g__Halomonas","g__Halomonas_unclassified"
"Otu1441","k__Bacteria","p__Bacteroidetes","c__Flavobacteriia","o__Flavobacteriales","f__Flavobacteriaceae","g__Flavobacterium","s__gelidilacus"
"Otu1442","k__Bacteria","p__Bacteroidetes","c__Flavobacteriia","o__Flavobacteriales","f__Flavobacteriaceae","g__Flavobacterium","g__Flavobacterium_unclassified"
"Otu1443","k__Bacteria","p__Bacteroidetes","c__Flavobacteriia","o__Flavobacteriales","f__[Weeksellaceae]","f__[Weeksellaceae]_unclassified","f__[Weeksellaceae]_unclassified"
"Otu1444","k__Bacteria","p__Bacteroidetes","c__Flavobacteriia","o__Flavobacteriales","f__Flavobacteriaceae","g__Flavobacterium","g__Flavobacterium_unclassified"
"Otu1445","k__Bacteria","p__Bacteroidetes","c__Flavobacteriia","o__Flavobacteriales","f__Flavobacteriaceae","g__Flavobacterium","g__Flavobacterium_unclassified"
"Otu1446","k__Bacteria","p__Cyanobacteria","c__4C0d-2","o__YS2","o__YS2_unclassified","o__YS2_unclassified","o__YS2_unclassified"
"Otu1447","k__Bacteria","p__Cyanobacteria","c__4C0d-2","o__YS2","o__YS2_unclassified","o__YS2_unclassified","o__YS2_unclassified"
